方面,情感类型,数量
剧情,惊喜,985
剧情,赞美,1890
剧情,开心,336
剧情,乐观,37
剧情,担忧,111
剧情,讽刺,554
剧情,生气,152
剧情,失望,1313
剧情,中立,626
画面,惊喜,45
画面,赞美,741
画面,开心,69
画面,乐观,2
画面,担忧,8
画面,讽刺,19
画面,生气,22
画面,失望,86
画面,中立,482
玩法,惊喜,285
玩法,赞美,418
玩法,开心,769
玩法,乐观,25
玩法,担忧,61
玩法,讽刺,120
玩法,生气,289
玩法,失望,741
玩法,中立,521
创意,惊喜,1549
创意,赞美,892
创意,开心,34
创意,乐观,48
创意,担忧,36
创意,讽刺,253
创意,生气,18
创意,失望,255
创意,中立,431
对男性的看法,惊喜,27
对男性的看法,赞美,490
对男性的看法,开心,79
对男性的看法,乐观,39
对男性的看法,担忧,118
对男性的看法,讽刺,1056
对男性的看法,生气,377
对男性的看法,失望,62
对男性的看法,中立,501
对女性的看法,惊喜,92
对女性的看法,赞美,765
对女性的看法,开心,97
对女性的看法,乐观,19
对女性的看法,担忧,86
对女性的看法,讽刺,1925
对女性的看法,生气,333
对女性的看法,失望,124
对女性的看法,中立,487
